№ Заказа,Наименование + артикул ,Цена в CNY,Заказ оформлен ,Дата поступления Poizon ,Трек номер ,На контроле ,,Статус Onex,Плановая дата прибытия Onex
1,New Balance 2002r grey ,729,TRUE,,SF1668380790461,FALSE,1,Pick up ,
2,adidas originals Samba OG,869,TRUE,,SF1612954779766,FALSE,2,Pick up ,
3,New Balance NB 530 Lvory 2024 D,409,TRUE,,73522207945903,FALSE,3,Pick up ,
4,Adidas Originals Yeezy Slide “Onyx”,800,TRUE,,SF1632614623912,FALSE,4,Pick up ,
5,Reebok Royal Bridge,186,TRUE,,SF1629576831841,FALSE,5,Pick up ,20.05.2024
6,"New Balance NB 1906R ""urbancore""",779,TRUE,,SF3113003707975,FALSE,6,Pick up ,20.05.2024
7,New Balance NB 530 D,489,TRUE,,SF1655933514561,FALSE,7,Pick up ,20.05.2024
8,new balance 574 ,759,TRUE,,SF1670842602098,FALSE,8,Pick up ,20.05.2024
10,New Balance NB 608 V1,239,TRUE,,73522805399152,FALSE,10,Pick up ,24.05.2024
11,nike air force 1 black,679,TRUE,,SF1643216901805,FALSE,11,Pick up ,24.05.2024
12,nike WMNS V2K run white metallic silver platinum tint,519,TRUE,,SF1694570004057,FALSE,12,Pick up ,24.05.2024
13,New Balance 574,479,TRUE,,73522911724666,FALSE,13,Pick up ,24.05.2024
14,Asics Gel-Flux 4,499,TRUE,,SF1647396814889,FALSE,14,Pick up ,24.05.2024
15,Asics GEL-NYC Y2k,869,TRUE,,SF1639333573431,FALSE,15,Pick up ,24.05.2024
16,Nike V2K Run,529,TRUE,,SF3106293714861,FALSE,16,Pick up ,24.05.2024
17,"Nike Air Force 1 ""Valentine Day""",559,TRUE,,SF3106293714861,FALSE,17,Pick up ,24.05.2024
18,"Nike Air Force 1 Low ""Tread In The Clouds"" ",739,TRUE,,SF1670805276825,FALSE,18,Pick up ,24.05.2024
19,Adidas Originals Ozweego Celox,469,TRUE,,SF1688760822307,FALSE,19,Pick up ,28.05.2024
20,Puma Velophasis Always on,429,TRUE,,73523015143097,FALSE,20,Pick up ,24.05.2024
21,Adidas Spiritain 2000,409,TRUE,,SF1686789781389,FALSE,21,Pick up ,28.05.2024
22,"Niko And .. X New Balance NB 530",599,TRUE,,SF1665378125232,FALSE,22,Pick up ,24.05.2024
23,Nike Air Zoom Vomero 5,599,TRUE,,SF1665378125232,FALSE,23,Pick up ,24.05.2024
24,Jordan Air Jordan 1 Low Concord,799,TRUE,,SF3110417505277,FALSE,24,Pick up ,24.05.2024
25,New Balance 530 silver blue,589,TRUE,,SF3114768805774,FALSE,25,Pick up ,28.05.2024
26,Asics gel kahana 8 оранжевые ,419,TRUE,,SF1644883296889,FALSE,26,Pick up ,24.05.2024
